Symbol	Description
AA.P	Alcoa Inc Pf 3.75
AADR	BNY Mellon Focused Growth ADR ETF
AAMC	Altisource Asset
AAU	Almaden Minerals
ABE	Aberdeen Emerging Markets Smaller Company Opport
ACIM	SPDR MSCI ACWI IMI
ACU	Acme United Corporation
ACWF	Ishares Factorselect MSCI Globa
ACWV	All Country World Min Vol MSCI Ishares
ACY	Aerocentury Corp
ADGE	American Dg Energy Inc
ADK	Adcare Health Systems Inc
ADK-A	Adcare Health Systems Inc 10.87
ADZ	DB Agriculture Short ETN Powershares
AE	Adams Resources & Energy
AFCO	American Farmland
AFK	Africa Index ETF Market Vectors
AFTY	CSOP FTSE China A50 ETF
AGA	DB Agriculture Dble Short ETN Powershares
AGF	DB Agriculture Long ETN Powershares
AGG	Aggregate Bond Ishares
AGGY	Wisdomtree Trust Wisdomtree Bar
AGQ	Ultra Silver Proshares
AGZ	Agency Bond Ishares
AIII	Acre Realty Investors Inc
AINC	Ashford Inc. Common Stock
AIRI	Air Industries Group Inc
AKG	Asanko Gold Inc
ALD	Asia Local Debt ETF Wisdomtree
ALFA	Alphaclone Alternative Alpha Et
ALFI	ETF Series Solutions Trust ETF
ALN	American Lorain Corp
ALTS	Proshares Morningstar Alternati
AMCO	Armco Metals Holdings Inc. Com
AMJ	Alerian MLP Index ETN JP Morgan
AMLP	Alps Alerian MLP ETF
AMPE	Ampio Pharmaceutical
AMS	American Shared Hospital Services
AMU	Etracs Alerian MLP Index ETN
AMUB	Etracs Alerian MLP Index ETN Se
AMZA	Infracap MLP ETF
AND	G-X FTSE Andean 40 ETF
ANGL	Fallen Angel HY Bond ETF Market Vectors
AOA	S&P Aggressive Allocation Ishares
AOK	S&P Conservative Allocation Ishares
AOM	S&P Moderate Allocation Ishares
AOR	S&P Growth Allocation Ishares
APHB	Ampliphi Biosciences Corp
APT	Alpha Pro Tech
ARGT	G-X FTSE Argentina 20 ETF
ARKG	Ark Genomic Revolution Multi-Se
ARKK	Ark Innovation ETF
ARKQ	Ark Industrial Innovation ETF
ARKW	Ark Web X.0 ETF
ASB.W	Associated Banc-Corp. Wt
ASEA	G-X FTSE Asean 40 ETF
ASHR	Db-Xt Harvest Csi 300 China A
ASHS	Db-Xt Harvest Csi 500 China A
ASHX	Db-Xt Csi 300 China A Hgd Eq
ASM	Avino Silver & Gold
AST	Asterias Biotherapeutics Inc
ATMP	Barclays ETN Plus Select MLP
ATNM	Actinium Pharmaceuticals Inc
AUMN	Golden Minerals Co
AUNZ	Australia & NZ Debt Wisdomtree
AUSE	Australia Dividend Wisdomtree
AWX	Avalon Holdings Corp
AXJL	Asia Pacific Ex-Japan Wisdomtree
AXJV	MSCI Asia Ex Japan Mini Ishares
AXN	China Aoxing Pharmaceutical Company
AXU	Alexco Resource Corp
AYT	GEMS Asia 8 ETN Ipath
BAA	Banro Corp
BAB	Build America Bond Powershares
BABS	SPDR Build Amer Bd Barclays Capital
BAL	DJ-UBS Cotton TR Sub-Idx ETN Ipath
BBRC	Egshares Beyond Brics ETF
BCM	Broad Commodity Pure Beta ETN Ipath
BCV	Bancroft Convertible Fund
BDAT	Purefunds ISE Big Data ETF
BDCL	2X Wells Fargo Bus Dv Cm ETN UBS E-Tracs
BDCS	Wells Fargo Bus Dev Comp ETN UBS E-Tracs
BDCZ	Etracs Wells Fargo Business Dev
BDD	DB Base Metals Dble Long ETN Powershares
BDG	DB Base Metals Long ETN Powershares
BDL	Flanigan's Enterprises
BDR	Blonder Tongue Laboratories
BFOR	Barron's 400
BFY	Blackrock New York Muni Trust II
BGI	Birks Group Inc. Common Stock
BGSF	Bg Staffing
BHB	Bar Harbor Bankshares
BHV	Blackrock Virginia Muni Trust
BIGD	Purefunds ISE Big Data ETF
BIK	SPDR S&P BRIC 40
BIL	SPDR 1-3 Month T-Bill Barclays Capital
BIV	Interm-Term Bond ETF Vanguard
BIZD	Market Vectors Bdc Income ETF
BJK	Gaming ETF Market Vectors
BKF	BRIC Index MSCI Ishares
BKJ	Bancorp of New Jersey Inc
BKLN	Senior Loan Portfolio Powershares
BLE	Blackrock Muni Income Trust II
BLJ	Blackrock New Jersey Muni Trust
BLNG	Precious Metals Pure Beta ETN Ipath
BLV	Long-Term Bond Index ETF Vanguard
BND	Total Bond Market ETF Vanguard
BNDS	SPDR Series Trust
BNO	US Brent Oil
BOIL	Ultra DJ-UBS Natural Gas Proshares
BOM	DB Base Metals Dble Short ETN Powershares
BOND	Total Return ETF Pimco
BOS	DB Base Metals Short ETN Powershares
BPMX	Biopharmx Corporatio
BRAQ	G-X Brazil Consumer ETF
BRAZ	G-X Brazil Midcap ETF
BRF	Brazil Smallcap ETF Market Vectors
BRG	Bluerock Residential Growth Rei
BRG-A	Bluerock Residential Growth Rei
BRN	Barnwell Industries
BRZU	Direxion Daily Brazil Bull 3X S
BSCG	2016 Corp Bond Bulletshares Guggenheim
BSCH	2017 Corp Bond Bulletshares Guggenheim
BSCI	2018 Corp Bond Bulletshares Guggenheim
BSCJ	2019 Corp Bond Bulletshares Guggenheim
BSCK	2020 Corp Bond Bulletshares Guggenheim
BSCL	Guggenheim Bulletshares 2021 Co
BSCM	Guggenheim Bulletshares 2022 Co
BSCN	Guggenheim Bulletshares 2023 Co
BSCO	Guggenheim Bulletshares 2024 Co
BSCP	Guggenheim Bulletshares 2025 Co
BSJG	2016 HY C Bd ETF Bulletshares Guggenheim
BSJH	2017 HY C Bd ETF Bulletshares Guggenheim
BSJI	2018 HY C Bd ETF Bulletshares Guggenheim
BSJJ	Guggenheim Bulletshares 2019 Hi
BSJK	Guggenheim Bulletshares 2020 Hi
BSJL	Guggenheim Bulletshares 2021 Hi
BSJM	Guggenheim Bulletshares 2022 Hi
BSJN	Guggenheim Bulletshares 2023 Hi
BSV	Short-Term Bond ETF Vanguard
BTAL	US Anti-Beta Fund Market Neutral Quantshares
BTG	B2Gold Corp
BTI	British American Tobacco Industries
BTN	Ballantyne Strong Inc
BTX	Biotime Inc
BTX.W	Biotime Inc. Warrants
BUNL	DB German Bund ETN Powershares
BUNT	DB 3X German Bund ETN Powershares
BVX	Bovie Medical Corp
BWL.A	Bowl Amer Inc Cl A
BWV	CBOE S&P 500 Buywrite Index ETN Ipath
BWX	SPDR Intl Treasury Bond Barclays Capital
BWZ	SPDR S/T Intl Treasury Bond Barclays Capital
BYLD	Yield Optimized Bond Ishares
BZF	Wisdomtree Brazilian Real Fund
BZM	Blackrock Maryland Muni Trust
BZQ	Ultrashort MSCI Brazil Proshares
CAFE	Coffee Pure Beta ETN Ipath
CANE	Teucrium Sugar
CANF	Can-Fite Biopharma Ltd Sponsore
CAPE	Barclays ETN Schiller Cape
CAW	CCA Industries
CBND	SPDR Issuer Scd Corp Bond Barclays Capital
CBON	Market Vectors Chinaamc China B
CCA	MFS California Insured Muni Trust
CCF	Chase Corp
CCX	Wisdomtree Commodity Currency Fund
CCXE	Commodity Country Equity Wisdomtree
CEF	Central Fund of Canada
CEFL	Etracs Monthly Pay 2X Leveraged
CEMB	Emrg Mkts Corporate Bond Fund Ishares
CET	Central Securities Corp
CEV	Eaton Vance California Muni Income Trust
CEW	Wisdomtree Emerging Currency Fund
CFD	Nuveen Diversified Commodity Fund
CGW	S&P Global Water Index Guggenheim
CH	Aberdeen Chile Fund
CHAD	Direxion Daily Csi 300 China A 1X
CHAU	Direxion Daily Csi 300 China A 2X
CHEP	US Value Fund Market Neutral ETF Quantshares
CHIE	G-X China Energy ETF
CHII	G-X China Industrials ETF
CHIM	G-X China Materials ETF
CHIQ	G-X China Consumer ETF
CHIX	G-X China Financials ETF
CHNA	Powershares China A-Share Portf
CHNB	Global X Gf China Bond ETF
CHOC	Cocoa Pure Beta ETN Ipath
CIK	Credit Suisse Asset Management
CIU	Intermediate Credit Bd Ishares
CIX	Compx International Inc
CJNK	SPDR Bofa Merrill Lynch Crossov
CKX	Ckx Lands
CLAW	Direxion Daily Homebuilders & S
CLM	Cornerstone Strategic Value Fund
CLY	10+ Year Credit Bond Ishares
CLYH	Ishares Interest Rate Hedged 10
CMBS	CMBS Bond Ishares
CMD	Ultrashort DJ-UBS Commodity Proshares
CMDT	DOW Jones-UBS Roll Select Ishares
CMF	S&P CA Amt-Free Municipal Bd Ishares
CMT	Core Molding Technologies Inc
CN	Db-Xt MSCI All China Eq
CNDA	IQ Canada Smallcap ETF
CNHX	CSOP MSCI China A International
CNR	China Metro-Rural Holdings
CNTR	Powershares Contrarian Opportun
CNXT	Market Vectors Chinaamc Sme-Chn
CNY	RMB/USD ETN Market Vectors
COBO	USD Covered Bond Proshares
COPX	G-X Copper Miners ETF
CORN	Teucrium Corn
CORP	Investment Grade Corp Bd Index ETF Pimco
COW	DJ-UBS Livestock TR Sub-Idx ETN Ipath
CPER	US Copper
CPHI	China Pharma Holdings
CPI	IQ Real Return ETF
CQH	Cheniere Energy Partners LP Holdings Llc
CQP	Cheniere Energy Partners LP
CQQQ	China Technology ETF Guggenheim
CRAK	Market Vectors Oil Refiners ETF
CRBN	Ishares MSCI ACWI Low Carbon Ta
CRBQ	CRB Global Commodity Equity
CRED	Core US Credit Bond ETF Ishares
CRF	Cornerstone Strategic Return Fund
CRHM	CRH Medical Corporation Common
CRMD	Cormedix Inc
CROC	Ultrashort Australian Proshares
CROP	IQ Global Agribusiness Smallcap ETF
CRVP	Crystal Rock Holdings
CSCR	Credit Suisse Ommodity Rotation
CSD	Spin-Off Guggenheim
CSJ	1-3 Year Credit Bond Ishares
CSLS	Long/Short Liquid Idx ETN Credit Suisse
CSM	Credit Suisse 130/30 Proshares
CSMA	Merger Arbi Liquid Idx ETN Credit Suisse
CTF	Nuveen Long/Short Commodity Tot
CTNN	Cotton Pure Beta ETN Ipath
CTO	Consolidated-Tomoka Land Co
CUO	Continental Materials Corp
CUPM	Copper Pure Beta ETN Ipath
CURE	Healthcare Bull 3X Direxion
CUT	Timber Guggenheim
CVM	Cel-Sci Corp
CVM.W	Cel-Sci Corporation
CVOL	C-Tracks Citi Volatility Index TR ETN
CVR	Chicago Rivet & Machine Co
CVRS	Corindus Vascular Robotics Inc
CVU	CPI Aerostructures
CVY	Multi Asset Income Guggenheim
CWB	SPDR Convertible Secs Barclays Capital
CWI	SPDR MSCI ACWI [Ex-Us]
CXA	SPDR CA Muni Bd Barclays Capital
CYB	Wisdomtree Chinese Yuan Fund
CZA	Midcap Core Guggenheim
DAG	DB Agriculture Dble Long ETN Powershares
DAKP	Mct Holding Corp
DBA	Powershares DB Agriculture Fund
DBAP	Db-Xt MSCI Asia Pacific Ex-Japan Hgd Eq
DBAU	Db-Xt MSCI Australia Hgd Eq
DBAW	Db-Xt MSCI All World Ex-US Hgd Eq
DBB	DB Base Metals Powershares
DBBR	Db-Xt MSCI Brazil Hgd Eq
DBC	DB Commodity Index Tracking Powershares
DBE	DB Energy Powershares
DBEF	Db-Xt MSCI EAFE Hgd Eq
DBEM	Db-Xt MSCI EM Mkts Hgd Eq
DBES	Db-Xt MSCI EAFE Smcp Hgd Eq
DBEU	Db-Xt MSCI Europe Hgd Eq
DBEZ	Db-Xt MSCI Eurozone Hdg Eq
DBGR	Db-Xt MSCI Germany Hgd Eq
DBIF	Db-Xt S&P Hgd Global Infrastruce
DBIT	Db-Xt MSCI Italy Hgd Eq
DBJP	Db-Xt MSCI Japan Hgd Eq
DBKO	Db-Xt MSCI South Korea Hgd Eq
DBMX	Db-Xt MSCI Mexico Hgd Eq
DBO	DB Oil Powershares
DBP	DB Precious Metals Powershares
DBRE	Db-Xt DJ Hgd Intl Real Estate
DBS	DB Silver Powershares
DBSP	Deutsche X-Trackers MSCI Spain
DBU	Global Ex-US Utilities Wisdomtree
DBUK	DB X-Trackers MSCI United Kingdom Hedged Equity
DBV	DB G10 Currency Harvest Powershares
DCNG	Seasonal Natural Gas ETN Ipath
DDEZ	Wisdomtree Dynamic Currency Hed
DDG	Short Oil & Gas Proshares
DDJP	Wisdomtree Dynamic Currency Hed
DDLS	Wisdomtree Dynamic Currency Hed
DDM	Ultra DOW 30 Proshares
DDP	DB Commodity Short ETN Powershares
DDWM	Wisdomtree Dynamic Currency Hed
DEE	DB Commodity Dble Short ETN Powershares
DEEF	Deutsche X-Trackers FTSE Develo
DEF	Defensive Equity Guggenheim
DEFA	Ishares Adaptive Currency Hedge
DEM	Emrg Mkts Equity Inc Wisdomtree
DES	Smallcap Dividend Wisdomtree
DEUS	Deutsche X-Trackers Russell 100
DEW	Global Equity Income Wisdomtree
DEWJ	Ishares Adaptive Currency Hedge
DEZU	Ishares Adaptive Currency Hedge
DFE	Europe Smallcap Dividend Wisdomtree
DFJ	Japan Smallcap Dividend Wisdomtree
DFND	Reality Shares Divcon Dividend
DGAZ	3X Inverse Natural Gas ETN Velocityshares
DGL	DB Gold Powershares
DGP	DB Gold Double Long ETN Powershares
DGRO	Dividend Growth Ishares
DGS	Emrg Mkts Smallcap Div Wisdomtree
DGSE	Dgse Companies Inc. Common Sto
DGT	SPDR Global DOW ETF
DGZ	DB Gold Short ETN Powershares
DHS	Equity Income Wisdomtree
DHVW	Diamond Hill Valuation-Weighted
DHY	Credit Suisse High Yield Bond Fund
DI	Pimco Diversified Income Exchan
DIA	SPDR DOW 30 ETF
DIG	Ultra Oil & Gas Proshares
DIM	Intl Midcap Dividend Wisdomtree
DIRT	Agriculture Pure Beta ETN Ipath
DIT	Amcon Distributing Company
DIV	Global X Super Dividend ETF
DIVA	Quantshares Hedged Dividend Inc
DIVC	Citigroup Inc. C-Tracks ETN Mil
DIVI	Advisorshares Athena High Divid
DIVY	Realty Shares Divs ETF
DJCI	DJ-UBS Commodity Idx TR ETN UBS E-Tracs
DJD	Guggenheim DOW Jones Industrial
DJP	DJ-UBS Commodity Idx TR ETN Ipath
DLA	Delta Apparel
DLN	Largecap Dividend Wisdomtree
DLS	Intl Smallcap Dividend Wisdomtree
DMF	Dreyfus Muni Income
DNL	Global Ex-US Growth Wisdomtree
DNN	Denison Mines Corp
DNO	US Short Oil
